CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
LaBelle Management||||0011I00000cJXVzQAO|||North American|MW||||Inactive||
LaSalle Hotel Properties||||0011I00000cJXW0QAO|||North American|MidAtl||||Inactive||
Labovitz Enterprises|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXW1QAO|||North American|MW||||Active|99.271|
Lafayette Yard Community Development Corp.||||0011I00000cJXW2QAO|||North American|NE||||Inactive||
Landmark Hospitality, LLC|Franchisee(F),Owner(F)|||0011I00000cJXW3QAO|||North American|West||||Active|99.642|
Larco Enterprises|Franchisee(F),Manager(F),Owner(F),Owner(M)|||0011I00000cJXW4QAO|||North American|Canada||||Active|99.274|10.023
Larry Blumberg and Assoc.|Manager(F)|||0011I00000cJXW5QAO|||North American|SE||||Active|99.275|
Laurel Host, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXW6QAO|||North American|MW||||Active|99.276|
LeFrak Organization, Inc. (The)|Owner(M)|||0011I00000cJXW7QAO|||North American|NE||||Active|98.170|
Leader Hospitality, LP|Franchisee(F),Owner(F)|||0011I00000cJXW8QAO|||North American|West||||Active|99.278|
Leisure Sports|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXW9QAO|||North American|West||||Active|99.279|
Essex Hotel Management, LLC|Manager(F)|||0011I00000cJXWAQA4|||North American|NE||||Active|99.20A|
Etkin Johnson Group|Franchisee(F),Owner(F)|||0011I00000cJXWBQA4|||North American|SoCent||||Active|99.190|
Gold Crest Properties||||0011I00000cJXWCQA4|||North American|NE||||Inactive||
Holiday Garden S.F. Corp.|Franchisee(F),Owner(F)|||0011I00000cJXWDQA4|||North American|Asia Pacific||||Active|99.577|
Eastern Motor Inns|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWEQA4|||North American|MidAtl||||Active|99.645|
Image Hospitality, LLC||||0011I00000cJXWFQA4|||North American|SoCent||||Inactive||
Impact Group|Owner(F),Manager(F),Franchisee(F)|||0011I00000cJXWGQA4|||North American|SE||||Active|99.241|
Merete Hotel Management|Manager(F),Franchisee(F),Owner(F)|||0011I00000cJXWHQA4|||North American|West||||Active|99.191|
F.D. Rich Company|Franchisee(F),Owner(F)|||0011I00000cJXWIQA4|||North American|NE||||Active|99.72F|
Graves Development Corp.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWJQA4|||North American|MW||||Active|99.211|
Gravestar, Inc.|Asset Manager(M)|||0011I00000cJXWKQA4|||International|NE||||Active||
Affirmed Corporation|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWLQA4|||North American|West||||Active|99.212|
Americal, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXWMQA4|||North American|MW||||Active|99.108|
Easton's Group of Hotels|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcVQAW|||North American|Canada||||Active|99.590|
Dosti LLC||||0011I00000cJXcWQAW|||North American|West||||Inactive||
RevPAR Companies|Manager(F),Franchisee(F),Owner(F)|||0011I00000cJXcXQAW|||North American|MidAtl||||Active|99.799|
Pathfinder Development Corporation|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcYQAW|||North American|SoCent||||Active|99.53C|
Lighthouse Properties, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcZQAW|||North American|MW||||Active|99.160|
Pramukh Varni|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcaQAG|||North American|SoCent||||Active|99.649|
H and W Management Co.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcbQAG|||North American|MW||||Active|99.093|
Peterson-Tweeten Development, Inc.||||0011I00000cJXccQAG|||North American|MW||||Inactive||
Lexington Management Corporation|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcdQAG|||North American|MW||||Active|99.114|
Advance Management and Investment, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXceQAG|||North American|West||||Active|99.615|
Eastman Chemical Company||||0011I00000cJXcfQAG|||North American|SE||||Active|98.295|
RHS Holdings, LLC||||0011I00000cJXcgQAG|||North American|NE||||Inactive||
Shenzhen New World|Franchisee(F),Owner(F)|||0011I00000cJXchQAG|||North American|West||||Active|99.66Q|
Chartwell Hospitality|Owner(F),Manager(F),Franchisee(F)|||0011I00000cJXciQAG|||North American|SE||||Active|99.681|
RB Hospitality|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcjQAG|||North American|West||||Active|99.694|
Liv Hospitality|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXckQAG|||North American|MW||||Active|99.023|
Sun Development and Management Corporation|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXclQAG|||North American|MW||||Active|99.128|
Wolfson Group (The)||||0011I00000cJXcmQAG|||North American|NE||||Inactive||
OAY Hospitality Inc.||||0011I00000cJXcnQAG|||North American|MW||||Inactive||
Terrapin Investments|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcoQAG|||North American|West||||Active|99.682|
DiamondRock Hospitality Company|Franchisee(F),Owner(F),Owner(M)|||0011I00000cJXcpQAG|||Both NALO and INTL|MidAtl||||Active|98.260|99.347
DSH Hospitality|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcqQAG|||North American|Canada||||Active|99.684|
Saunders Hotel Group Ltd.||||0011I00000cJXcrQAG|||North American|NE||||Inactive||
Prospera Hospitality|Manager(F)|||0011I00000cJXcsQAG|||North American|MidAtl||||Active|99.280|
Winston Hospitality, Inc.|Manager(F)|||0011I00000cJXbXQAW|||North American|MidAtl||||Active|99.6A5|
Platinum Hospitality Management Co., Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbYQAW|||North American|SE||||Active|99.570|
Daly Hotel Management|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbZQAW|||North American|MidAtl||||Active|99.23A|
Kalyanji Enterprises, Ltd|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbaQAG|||North American|SoCent||||Active|99.137|
Sam and Shree Corporation|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbbQAG|||North American|MW||||Active|99.07A|
A-1 Hospitality Hotels|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbcQAG|||North American|West||||Active|99.734|
AllianceBernstein L.P.|Franchisee(F),Owner(M),Owner(F)|||0011I00000cJXbdQAG|||North American|NE||||Active|99.37L|
EM Properties Ltd||||0011I00000cJXbeQAG|||North American|MW||||Inactive||
Oldham Goodwin Group (The)|Franchisee(F),Major Investor(F),Manager(F),Owner(F)|||0011I00000cJXbfQAG|||North American|SoCent||||Active|99.720|
ADC Real Estate Group||||0011I00000cJXbgQAG|||North American|West||||Inactive||
Pacific Pearl Hotels||||0011I00000cJXbhQAG|||North American|West||||Inactive||
Sandcastle Hotels and Resorts||||0011I00000cJXbiQAG|||North American|SE||||Inactive||
Nevada Property 1, LLC|Manager(F)|||0011I00000cJXbjQAG|||North American|West||||Active|99.998|
Windsor/Aughtry Company|Franchisee(F),Owner(F)|||0011I00000cJXbkQAG|||North American|MidAtl||||Active|99.393|
The Amin Group|Franchisee(F),Owner(F)|||0011I00000cJXblQAG|||North American|West||||Active|99.99Q|
Justice Companies (The)|Franchisee(F),Owner(F)|||0011I00000cJXbmQAG|||North American|West||||Active|99.652|
AUM Enterprises, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbnQAG|||North American|SE||||Active|99.581|
Centurion Companies|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXboQAG|||North American|MidAtl||||Active|99.559|
C.E. Hospitality, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbpQAG|||North American|West||||Active|99.617|
Gateway Hospitality||||0011I00000cJXbqQAG|||North American|MidAtl||||Inactive||
Blenheim Capital Group LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbrQAG|||North American|MidAtl||||Active|99.609|
Pinnacle International|Owner(M)|||0011I00000cJXbsQAG|||North American|Canada||||Active|98.227|
Auburn Hospitality, Inc.|Franchisee(F),Owner(F)|||0011I00000cJXbtQAG|||North American|NE||||Active|99.78A|
HLC@Metro, Inc.|Franchisee(F),Owner(F)|||0011I00000cJXbuQAG|||North American|SoCent||||Active|99.00B|
Rina Management, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbvQAG|||North American|MidAtl||||Active|99.589|
Winston Group||||0011I00000cJXbwQAG|||North American|MidAtl||||Inactive||
A.J.P.J. II LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXbxQAG|||North American|West||||Active|99.614|
J.B. Brown and Sons|Franchisee(F),Owner(F)|||0011I00000cJXbyQAG|||North American|NE||||Active|99.05B|
GE Capital Real Estate||||0011I00000cJXbzQAG|||North American|MW||||Inactive||
Hospitality Investors Trust|Franchisee(F),Owner(F)|||0011I00000cJXc0QAG|||North American|NE||||Active|99.16E|
Manga Hotels|Franchisee(F),Manager(F),Owner(F),Owner(M)|||0011I00000cJXc1QAG|||North American|Canada||||Active|99.651|
United Construction and Development Group Corp.|Owner(F),Franchisee(F)|||0011I00000cJXc2QAG|||North American|NE||||Active|99.450|
Hospitality America, Inc.|Manager(F)|||0011I00000cJXc3QAG|||North American|SE||||Active|99.210|
Wasatch Companies|Owner(F),Franchisee(F)|||0011I00000cJXc4QAG|||North American|West||||Active|99.43B|
Kalthia Group Hotels|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXc5QAG|||North American|West||||Active|99.480|
PCH Hotels and Resorts, Inc.|Manager(F)|||0011I00000cJXc6QAG|||North American|SE||||Active|99.583|
Royal Management Corporation||||0011I00000cJXc7QAG|||North American|MW||||Inactive||
Pacifica Hotel Company|Manager(F),Owner(F),Franchisee(F)|||0011I00000cJXc8QAG|||North American|West||||Active|99.491|
Double J Development, LLC||||0011I00000cJXc9QAG|||North American|MidAtl||||Inactive||
SBM Hospitality|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcAQAW|||North American|MW||||Active|99.561|
West Willow Properties, LLC|Owner(M)|||0011I00000cJXcBQAW|||North American|NE||||Active|98.231|
Ironstate Holdings, LLC|Franchisee(F),Owner(M),Owner(F)|||0011I00000cJXcCQAW|||North American|NE||||Active|98.397|99.10C
Capstone Realty Group||||0011I00000cJXcDQAW|||North American|NE||||Inactive||
Bel Air Hotels||||0011I00000cJXcEQAW|||North American|MW||||Inactive||
North Star Hospitality|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcFQAW|||North American|MW||||Active|99.534|
TKO - The Koehler Organization|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcGQAW|||North American|MW||||Active|99.535|
Apollo Global Management||||0011I00000cJXcHQAW|||North American|NE||||Inactive||
Genesis Hospitality|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcIQAW|||North American|Canada||||Active|99.941|
Erica Enterprises, Inc.||||0011I00000cJXcJQAW|||North American|SE||||Inactive||
Bleyers Hospitality, Inc.||||0011I00000cJXcKQAW|||North American|MW||||Inactive||
Titan Hotels|Manager(F)|||0011I00000cJXcLQAW|||North American|MidAtl||||Active|99.910|
Alliance Hospitality Management LLC|Owner(F),Manager(F),Franchisee(F)|||0011I00000cJXcMQAW|||North American|MidAtl||||Active|99.01K|
Newport Hospitality Group, Inc.|Manager(F),Asset Manager(F),Franchisee(F),Owner(F)|||0011I00000cJXcNQAW|||North American|MidAtl||||Active|99.103|
Crow Holdings||||0011I00000cJXcOQAW|||North American|SoCent||||Inactive||
K Partners Hospitality Group|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcPQAW|||North American|SoCent||||Active|99.663|
Good Hospitality Services|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcQQAW|||North American|MW||||Active|99.585|
Aatish Hospitality|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcRQAW|||North American|MW||||Active|99.574|
Sunny Hospitality|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcSQAW|||North American|Canada||||Active|99.668|
Argent Group|Franchisee(F),Owner(F)|||0011I00000cJXcTQAW|||North American|West||||Active|99.13M|
Tishman Hotel Corporation|Franchisee(F),Manager(F),Owner(M),Owner(F)|||0011I00000cJXcUQAW|||North American|SE||||Active|98.384|99.10R
Liberty Hotel Group|Owner(F),Franchisee(F),Manager(F)|||0011I00000cJXdsQAG|||North American|MW||||Active|99.048|
Centurion Partners|Asset Manager(F)|||0011I00000cJXdtQAG|||North American|West||||Active|99.01F|
OTO Development, LLC|Owner(F),Manager(F),Franchisee(F)|||0011I00000cJXduQAG|||North American|MidAtl||||Active|99.044|
Northview Hotel Group|Franchisee(F),Owner(F)|||0011I00000cJXdvQAG|||North American|NE||||Active|98.280|99.11S
Integrated Capital, LLC|Franchisee(F),Owner(F)|||0011I00000cJXdwQAG|||North American|West||||Active|98.282|99.38K
Thakor, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXdxQAG|||North American|SE||||Active|99.065|
Middletown Management, Inc.|Manager(F),Franchisee(F),Owner(F)|||0011I00000cJXdyQAG|||North American|MW||||Active|99.123|
BC Lynd Hospitality|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXdzQAG|||North American|SoCent||||Active|99.71C|
Moody National Companies|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXe0QAG|||North American|SoCent||||Active|99.161|
InterCoastal Group Companies||||0011I00000cJXe1QAG|||North American|West||||Inactive||
NexPoint Advisors|Franchisee(F),Owner(F)|||0011I00000cJXe2QAG|||North American|SoCent||||Active|99.2B7|
Riverview Holdings, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXe3QAG|||North American|MidAtl||||Active|99.099|
New Century Hotels|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXe4QAG|||North American|SoCent||||Active|99.090|
Q Hotels|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXe5QAG|||North American|SoCent||||Active|99.003|
Mark Greenwood|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXe6QAG|||North American|West||||Active|99.111|
Choa Hospitality, LLC||||0011I00000cJXe7QAG|||North American|West||||Inactive||
Amin Enterprises||||0011I00000cJXe8QAG|||North American|SoCent||||Inactive||
Summit Associates, LLC||||0011I00000cJXe9QAG|||North American|MidAtl||||Inactive||
Chartwell Hotels|Franchisee(F),Owner(F),Manager(F)|||0011I00000cJXeAQAW|||North American|NE||||Active|99.740|
HRS Hotels Group, Inc.||||0011I00000cJXeBQAW|||North American|MW||||Inactive||
Naman Hotels|Franchisee(F),Owner(F),Manager(F)|||0011I00000cJXeCQAW|||North American|SE||||Active|99.9D7|
WKK Hotels, LLC|Franchisee(F),Owner(F)|||0011I00000cJXeDQAW|||North American|MW||||Active|99.41B|
Marion Hospitality Group (The), LLC|Manager(F)|||0011I00000cJXeEQAW|||North American|MW||||Active|99.12A|
Scio Hospitality||||0011I00000cJXeFQAW|||North American|MW||||Inactive||
Abu Dhabi National Hotels|Manager(F),Franchisee(F),Owner(F),Owner(M)|||0011I00000cJXeGQAW|||International|UK/Ireland/MidEast/Africa||||Active|10.1A1|11.369
Centennial Place, LLC||||0011I00000cJXeHQAW|||North American|West||||Inactive||
Sierra Vista Hotels, LLC|Franchisee(F),Owner(F)|||0011I00000cJXeIQAW|||North American|SoCent||||Active|99.170|
Basin Street Hospitality||||0011I00000cJXeJQAW|||North American|West||||Inactive||
North Mich Hospitality Management LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXeKQAW|||North American|MW||||Active|99.538|
RM Crowe||||0011I00000cJXeLQAW|||North American|SoCent||||Inactive||
Greenbriar Associates, LLC||||0011I00000cJXeMQAW|||North American|NE||||Inactive||
LodgeStar Investments|Franchisee(F),Owner(F),Manager(F)|||0011I00000cJXeNQAW|||North American|SoCent||||Active|99.695|
JMB Realty Corporation|Owner(F),Owner(M)|||0011I00000cJXeOQAW|||North American|MW||||Active|99.79G|
Khangura Development, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXePQAW|||North American|West||||Active|99.586|
Grove Street Partners, LLC||||0011I00000cJXeQQAW|||North American|SE||||Inactive||
Kite Properties, LLC|Franchisee(F),Owner(F)|||0011I00000cJXeRQAW|||North American|SE||||Active|99.521|
Flag Luxury Properties, LLC||||0011I00000cJXctQAG|||North American|NE||||Active||
Vindhyavasini Hospitality, LLC||||0011I00000cJXcuQAG|||North American|SoCent||||Inactive||
Rock Creek Hospitality, LLC||||0011I00000cJXcvQAG|||North American|MidAtl||||Inactive||
Pezold Management|Franchisee(F),Owner(F)|||0011I00000cJXcwQAG|||North American|SE||||Active|99.005|
Valley Hospitality|Manager(F)|||0011I00000cJXcxQAG|||North American|SE||||Active|99.698|
Spectrum Hospitality Management|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXcyQAG|||North American|MidAtl||||Active|99.002|
Morgan Stanley - US R E Investing Division||||0011I00000cJXczQAG|||North American|NE||||Inactive||
J & M Hospitality|Franchisee(F),Owner(F)|||0011I00000cJXd0QAG|||North American|SE||||Active|99.030|
Hamister Group|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXd1QAG|||North American|NE||||Active|99.027|
L.A. Koreana, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXd2QAG|||North American|West||||Active|99.021|
Susquehanna Associates Management, Inc.||||0011I00000cJXd3QAG|||North American|MidAtl||||Inactive||
Sandhu Hospitality Inc||||0011I00000cJXd4QAG|||North American|West||||Inactive||
Touchstone Corporation|Franchisee(F),Owner(F)|||0011I00000cJXd5QAG|||North American|West||||Active|99.950|
Shubh Hotels Lincoln, LLC||||0011I00000cJXd6QAG|||North American|SE||||Inactive||
JMK Hotels|Franchisee(F),Owner(F)|||0011I00000cJXd7QAG|||North American|West||||Active|99.1X6|
DKN Hotels|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXd8QAG|||North American|West||||Active|99.676|
15th & L Investors, LLC|Franchisee(F),Owner(F)|||0011I00000cJXd9QAG|||North American|West||||Active|99.671|
VB Hospitality Management|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXdAQAW|||North American|SE||||Active|99.669|
Dow Hotel Company (The)|Manager(F)|||0011I00000cJXdBQAW|||North American|West||||Active|99.028|
Horseshoe Bay Resort, Ltd.||||0011I00000cJXdCQAW|||North American|SoCent||||Inactive||
Soham Group, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXdDQAW|||North American|SE||||Active|99.686|
Coralville Hospitality Corporation|Owner(M)|||0011I00000cJXdEQAW|||North American|MW||||Active|98.276|
Florida Capital Hotel Partners, Ltd.||||0011I00000cJXdFQAW|||North American|SE||||Inactive||
Gibson Hotel Management Inc.|Manager(F),Owner(F),Franchisee(F)|||0011I00000cJXdGQAW|||North American|SE||||Active|99.688|
Marquee Hotels Ltd.||||0011I00000cJXdHQAW|||North American|Canada||||Inactive||
Peachstate Hospitality, LLC|Manager(F),Owner(F),Franchisee(F)|||0011I00000cJXdIQAW|||North American|SE||||Active|99.655|
Raymond Management Company|Manager(F),Owner(F),Franchisee(F)|||0011I00000cJXdJQAW|||North American|MW||||Active|99.392|
Dhiafatina for Hotels O.P.C.|Owner(M)|||0011I00000cJXdKQAW|||International|Europe||||Active|11.872|
Varro Hospitality, LLC||||0011I00000cJXdLQAW|||North American|SoCent||||Inactive||
Countrywide Hospitality, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXdMQAW|||North American|SoCent||||Active|99.68D|
JADE Management, LLC||||0011I00000cJXdNQAW|||North American|West||||Inactive||
Toli, Inc.||||0011I00000cJXdOQAW|||North American|SoCent||||Inactive||
Crescent Hotels & ResortsIN||||0011I00000cJXdPQAW|||North American|NE||||Inactive||
WEDGE Hotels||||0011I00000cJXdQQAW|||North American|SoCent||||Inactive||
J. S. Capitol Equities||||0011I00000cJXdRQAW|||North American|MW||||Inactive||
Eastern Shore Hospitality, LLC||||0011I00000cJXdSQAW|||North American|MidAtl||||Inactive||
DMC Properties, Inc.|Major Investor(F)|||0011I00000cJXdTQAW|||North American|MidAtl||||Active|99.670|
Prime Group (The)|Franchisee(F),Owner(M),Owner(F)|||0011I00000cJXdUQAW|||North American|MW||||Active|98.332|
Allyson Group, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXdVQAW|||North American|MW||||Active|99.084|
Goldman Sachs Group, Inc|Franchisee(F),Owner(F)|||0011I00000cJXdWQAW|||North American|NE||||Active|99.059|
Southern Hospitality Group, LLC||||0011I00000cJXdXQAW|||North American|SE||||Inactive||
Gordon Companies|Franchisee(F),Owner(F)|||0011I00000cJXdYQAW|||North American|NE||||Active|99.050|
Beck Company||||0011I00000cJXdZQAW|||North American|MidAtl||||Inactive||
Champion Hotels|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXdaQAG|||North American|SoCent||||Active|99.066|
Allstates, LLC|Owner(M)|||0011I00000cJXdbQAG|||North American|MidAtl||||Active|98.298|
Galaxy Management (PA)|Owner(M)|||0011I00000cJXdcQAG|||North American|MidAtl||||Active|98.111|
P.R. Hotels, Ltd.|Franchisee(F),Owner(F),Manager(F)|||0011I00000cJXddQAG|||North American|Canada||||Active|99.067|
Advanced Hospitality Management||||0011I00000cJXdeQAG|||North American|NE||||Inactive||
Azalea Development Corporation|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXdfQAG|||North American|SE||||Active|99.058|
Joseph R. Petersen Family Trust|Franchisee(F),Owner(F)|||0011I00000cJXdgQAG|||North American|West||||Active|99.073|
First Bristol Corporation|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXdhQAG|||North American|NE||||Active|99.079|
Retirement Systems of Alabama|Franchisee(F),Owner(F)|||0011I00000cJXdiQAG|||North American|SE||||Active|99.039|
Dakota Ridge Real Estate Advisory Services, LLC|Asset Manager(M)|||0011I00000cJXdjQAG|||North American|SoCent||||Active|98.285|
Benderson Development Co., Inc.|Franchisee(F),Owner(F)|||0011I00000cJXdkQAG|||North American|NE||||Active|99.125|
Apollo Real Estate Advisors||||0011I00000cJXdlQAG|||North American|NE||||Active||
Paso Robles Investments, LLC.||||0011I00000cJXdmQAG|||North American|West||||Inactive||
Hotel Equities|Manager(F),Franchisee(F),Owner(F)|||0011I00000cJXdnQAG|||North American|SE||||Active|99.042|
Vista Host, Inc.|Manager(F),Franchisee(F),Owner(F)|||0011I00000cJXdoQAG|||North American|SoCent||||Active|99.436|
Pillar Hotels and Resorts||||0011I00000cJXdpQAG|||North American|SoCent||||Inactive||
Krishna Darshan, LLC|Franchisee(F),Owner(F)|||0011I00000cJXdqQAG|||North American|NE||||Active|99.246|
Montclair Hotel Investors LLC||||0011I00000cJXdrQAG|||North American|MW||||Inactive||
Blanchard and Calhoun Hospitality, LLC|Franchisee(F),Owner(F)|||0011I00000cJXfQQAW|||North American|SE||||Active|99.744|
Hillwood Enterprises, L.P.|Franchisee(F),Owner(F)|||0011I00000cJXfRQAW|||North American|SE||||Active|99.73D|
Altitude Capital Management, LLC|Owner(M)|||0011I00000cJXfSQAW|||North American|West||||Active|98.083|
Lowen Hospitality Management, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXfTQAW|||North American|SoCent||||Active|99.731|
Capstone Development|Franchisee(F),Owner(F)|||0011I00000cJXfUQAW|||North American|MidAtl||||Active|99.997|
Krushiker Hospitality Group|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXfVQAW|||North American|SoCent||||Active|99.48L|
Odyssey Hotels|Manager(F),Franchisee(F),Owner(F)|||0011I00000cJXfWQAW|||North American|MW||||Active|99.939|
Route 3 Development Corporation|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXfXQAW|||North American|NE||||Active|99.925|
Trinity Development & Management|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXfYQAW|||North American|MidAtl||||Active|99.952|
First Street Development, LLC|Franchisee(F),Owner(F)|||0011I00000cJXfZQAW|||North American|MW||||Active|99.945|
American Hospitality, Inc.|Manager(F)|||0011I00000cJXfaQAG|||North American|West||||Active|99.944|
